country,year,medal,count,population
Indonesia,2000,Bronze,2,211513823
Uzbekistan,2004,Bronze,2,25864350
Poland,2016,Silver,3,37970087
Jamaica,1980,Bronze,3,2162846
Tunisia,1964,Bronze,1,4461114
Indonesia,2004,Gold,1,223285676
Belarus,1996,Silver,6,10160000
New Zealand,2016,Gold,6,4693200
France,2004,Silver,10,62704895
Ukraine,2008,Bronze,16,46258200
Switzerland,1984,Bronze,8,6441865
United States of America,2006,Bronze,32,298379912
Bulgaria,1996,Gold,3,8362826
Germany,2016,Silver,43,82348669
Indonesia,1992,Silver,3,187739786
Finland,2004,Silver,2,5228172
Qatar,2016,Silver,1,2654374
Japan,1994,Silver,5,124961000
Hungary,1972,Silver,46,10398489
Uganda,1996,Bronze,1,21032821
South Africa,2004,Silver,3,47291610
Australia,1996,Bronze,84,18311000
Colombia,1984,Silver,1,29331238
Italy,2014,Silver,2,60789140
Denmark,2016,Silver,10,5728010
Belarus,2008,Gold,8,9527985
Slovenia,1992,Bronze,6,1996498
Turkey,2004,Silver,3,67010930
Netherlands,1968,Bronze,4,12729721
Azerbaijan,2012,Silver,2,9295784
Italy,1994,Silver,6,56843400
Russia,1996,Gold,36,148160042
Kazakhstan,2000,Silver,4,14883626
Cyprus,2012,Silver,1,1135046
Brazil,1964,Bronze,12,81064571
Denmark,1968,Silver,6,4864883
South Korea,2008,Gold,41,49054708
Czech Republic,2012,Bronze,6,10510785
Norway,1976,Silver,10,4026152
Germany,2008,Silver,16,82110097
Armenia,2012,Bronze,2,2884229
Mexico,1968,Gold,3,48431972
Australia,1996,Silver,16,18311000
Switzerland,1988,Bronze,7,6593386
Mexico,2008,Gold,2,110815271
Azerbaijan,2016,Bronze,10,9757812
Uzbekistan,2012,Gold,1,29774500
Mexico,1996,Bronze,1,93147044
Ukraine,2004,Bronze,31,47451600
Denmark,2016,Bronze,16,5728010
United States of America,1984,Gold,190,235825000
United Kingdom,2016,Silver,55,65595565
Canada,2002,Bronze,15,31360079
Armenia,2008,Bronze,6,2907618
Poland,2004,Silver,2,38182222
Italy,1992,Gold,25,56797087
Hungary,1992,Gold,14,10369341
Australia,2008,Gold,31,21249200
Iran,2016,Bronze,4,79564016
Netherlands,1980,Bronze,6,14149800
Sweden,2010,Silver,3,9378126
France,2006,Silver,2,63621381
New Zealand,1976,Bronze,9,3110500
Mexico,1976,Bronze,1,61242190
Russia,2012,Silver,39,143201676
United States of America,1994,Bronze,5,263126000
United Kingdom,1968,Bronze,5,55211700
Czech Republic,1964,Bronze,29,9727804
Mongolia,2016,Bronze,1,3056359
France,1996,Silver,10,59753100
Kenya,2012,Silver,4,44343410
Czech Republic,2004,Gold,1,10197101
United States of America,1998,Silver,4,275854000
Japan,2002,Silver,1,127445000
Russia,1972,Bronze,63,131909000
Greece,1968,Bronze,1,8740765
Switzerland,1960,Bronze,6,5327827
Poland,2002,Silver,1,38230364
Romania,1972,Bronze,27,20657957
Sweden,1992,Gold,2,8668067
India,1968,Bronze,16,531513824
Netherlands,2006,Bronze,8,16346101
Australia,2006,Gold,1,20697900
Saudi Arabia,2000,Bronze,1,20663843
Denmark,2012,Gold,3,5591572
China,1996,Bronze,17,1217550000
Brazil,1996,Gold,5,164614688
India,1964,Gold,15,488848135
China,1998,Bronze,5,1241935000
Poland,1960,Gold,4,29637450
Czech Republic,1968,Silver,26,9876346
United Kingdom,2002,Gold,5,59370479
Australia,1996,Gold,32,18311000
Belgium,1968,Silver,1,9618756
Colombia,2016,Bronze,3,48171392
Tunisia,1972,Silver,1,5291338
Poland,2014,Silver,4,38011735
Japan,2016,Gold,17,126994511
Russia,1984,Bronze,12,142745000
Switzerland,1996,Silver,6,7071850
